ingredient_name,rating,functions,benefits
Tocotrienols,BEST,Compounds of vitamin E that offer powerful antioxidant and soothing benefits. Can be naturally or synthetically derived.,"Anti-Aging, Evens Skin Tone, Soothing"
Tranexamic Acid,BEST,Discoloration-fading ingredient that interrupts multiple pathways in skin that would otherwise lead to uneven tone. Excellent for dark spots and brown/gray patches.,"Dark Spot Fading, Evens Skin Tone, Anti-Aging"
Tremella Fuciformis Sporocarp Extract,BEST,"Also known as snow mushroom, this plant extract is a rich source of polysaccharides and has shown an ability to help hydrate skin by binding moisture to its surface.","Anti-Aging, Soothing, Hydration"
Tridecapeptide-1,BEST,Tridecapeptide-1 is a synthetic peptide that has a documented wrinkle-smoothing effect that works within minutes.,"Anti-Aging, Hydration"
Triethyl Citrate,BEST,Solvent and texture enhancing agent that has research backing its synergy with other active ingredients to improve their efficacy. May also positively impact pores/oil control.,Oil Control
Trifolium Pratense,BEST,"Also known as red clover extract, this plant has antioxidant and soothing properties for skin.","Anti-Aging, Soothing"
Trifolium Pratense (Clover) Extract,BEST,"Also known as red clover extract, this plant has antioxidant and soothing properties for skin.","Anti-Aging, Soothing"
Trimethylsiloxyamodimethicone,BEST,"Trimethylsiloxyamodimethicone is a synthetic silicone-based polymer that functions as a conditioning agent, hydrating and smoothing skin's surface due to its lightweight yet silky, non-greasy feel.",Hydration
Triolein,BEST,This triglyceride is used as a skin conditioning emollient in cosmetics.,Hydration
Tripeptide-1,BEST,"Tripeptide-1, aka GHK (glycine, histidine, lysine - the amino acids that comprise it), is a synthetic signal peptide that teaches skin to rebuild damaged areas.",Anti-Aging
Tripeptide-29,BEST,"Synthetic peptide that has been shown to strengthen skin’s supportive elements, improve uneven texture and the look of fine lines, and reverse a dehydrated appearance.",Anti-Aging
Troxerutin,BEST,This flavonoid ingredient derived from the Sophora japonica plant functions as an antioxidant when applied topically.,Anti-Aging
Turmeric,BEST,"Turmeric is a spice made from the dried, ground root of the Curcuma longa plant.","Anti-Aging, Soothing, Evens Skin Tone"
Ubiquinone,BEST,"Also known as coenzyme Q10 or CoQ10, this ingredient is found naturally in the body. It serves as an antioxidant and helps energize factors in the body that can slow with both age and sun exposure, leading to younger, healthier looking skin.","Anti-Aging, Soothing"
Undaria Pinnatifida (Algae) Extract,BEST,"Also known as brown algae, this type of seaweed provides various hydrating and skin-soothing antioxidant benefits to skin.","Anti-Aging, Soothing"
Urea,BEST,"Long-proven humectant that in amounts of 10% or greater also offers keratolytic (exfoliating) benefits to improve dry, scaly, and thickened skin.","Hydration, Smooths Bumpy Skin, Evens Skin Tone"
Uva Ursi Extract,BEST,"Also known as bearberry, this plant extract has antioxidant properties and could have dark spot fading properties.","Anti-Aging, Evens Skin Tone, Soothing"
Vaccinium Angustifolium (Blueberry) Fruit Extract,BEST,Blueberry fruit extract is from a berry native to North America. Research has proven it’s a bountiful source of antioxidants for skin and body.,Anti-Aging
Vaccinium Macrocarpon (Cranberry) Seed Oil,BEST,Vaccinium macrocarpon (cranberry) seed oil is derived from the seed of this red berry; the oil (which is not red) has antioxidant ability.,"Anti-Aging, Hydration"
Vaccinium Macrocarpon Fruit Extract,BEST,Latin term for cranberry.,"Anti-Aging, Soothing"
Vaccinium Myrtillus,BEST,Bilberry is one of the best sources of antioxidant compounds known as anthocyanins.,"Anti-Aging, Soothing"
Vaccinium Myrtillus Fruit Extract,BEST,"Antioxidant-rich extract that comes from bilberry. Known to be a rich source of compounds known as anthocyanins, which boost skin’s defense against environmental stressors.","Anti-Aging, Soothing"
Vaccinium Myrtillus Leaf Extract,BEST,"Antioxidant-rich extract that comes from bilberry. Known to be a rich source of resveratrol and anthocyanins, both of which help inhibit photoaging in skin.","Anti-Aging, Soothing"
Vaccinium Myrtillus Seed Oil,BEST,"Oil extracted from the bilberry plant, which contains beneficial omega fatty acids and antioxidants that work together to deliver healthier-looking skin. Also, provides soothing and moisture-enhancing benefits.","Anti-Aging, Hydration, Soothing"
Vaccinium Vitis-Idaea (Lingonberry) Fruit Extract,BEST,"Vaccinium vitis-idaea (also known as lingonberry) is a wild-growing Scandinavian-native berry that's similar in nutrient profile and size with its plant ""cousin"", blueberry.","Anti-Aging, Soothing"
Vaccinium Vitis-Idaea Fruit Extract,BEST,"Vaccinium vitis-idaea (also known as lingonberry) is a wild-growing Scandinavian-native berry that's similar in nutrient profile and size with its plant ""cousin"", blueberry.","Anti-Aging, Soothing"
Vaccinum Angustifolium (Blueberry) Fruit Extract,BEST,Blueberry fruit extract is from a berry native to North America. Research has proven it’s a bountiful source of antioxidants for skin and body.,
Vitamin A,BEST,"Also known as retinol, this is one of the most recognized anti-aging ingredients. This powerhouse has multiple benefits for skin and is offered in varying strengths to deliver visible results.","Anti-Aging, Anti-Acne, Pore Minimizer"
Vitamin B3,BEST,"Helps visibly minimize pore size, improve dull/uneven tone, and reduce wrinkle depth. Also known to fortify skin's barrier strength and boost hydration.","Anti-Aging, Evens Skin Tone, Pore Minimizer"
Vitamin B5,BEST,Also known as pantothenic acid.,"Anti-Aging, Hydration, Soothing"
Vitamin C,BEST,"Ongoing use has been shown to improve the look of multiple signs of aging, brighten an uneven skin tone, as well as provide skin-restoring and soothing benefits.","Anti-Aging, Evens Skin Tone, Dark Spot Fading"
Vitamin E,BEST,One of the most well-known and researched antioxidants for the body and for skin.,"Anti-Aging, Soothing, Evens Skin Tone"
Vitamin F,BEST,Name sometimes used to represent essential fatty acids of linoleic acid and linolenic acid.,"Hydration, Anti-Aging"
Vitis Vinifera,BEST,Latin name for the vines that produce wine grapes.,
Vitis Vinifera (Grape) Seed Extract,BEST,This plant seed extract that has been shown to help mitigate the effects environmental stressors have on skin.,Anti-Aging
Vitis Vinifera (Grape) Seed Oil,BEST,"This emollient, non-fragrant plant oil has excellent antioxidant properties.","Anti-Aging, Hydration"
Watermelon Fruit Extract,BEST,"Extract from the fruit Citrullus lantus, commonly known as watermelon.","Anti-Aging, Hydration"
White Tea Leaf Extract,BEST,Extract from the minimally processed buds and leaves of green tea.,"Anti-Aging, Soothing"
Willow Herb,BEST,Plant extract that is known to be soothing and delivers antioxidant effects on skin.,"Soothing, Anti-Aging"
Withania Somnifera Root Extract,BEST,"Also known as ashwagandha, this plant extract delivers antioxidant and soothing properties.",Anti-Aging
Xanthophyll,BEST,"Also known as lutein, this is a cartenoid pigment from plants that functions as an antioxidant.","Anti-Aging, Soothing"
Xanthophylls,BEST,Plant pigment that provides potent antioxidant power to defend skin from environmental stressors.,"Anti-Aging, Soothing"
Xylitol,BEST,"This sugar alcohol primarily works to attract and hold moisture to skin. As a prebiotic, it positively influences skin’s microbiome.","Hydration, Soothing"
Yeast Extract,BEST,"Yeast extract, also known as baker’s yeast, can be different strains of yeast but Saccharomyces cerevisiae is the most common. It’s an excellent skin-soothing antioxidant.","Anti-Aging, Hydration, Soothing"
Yerba Mate Extract,BEST,Plant ingredient that has skin-soothing and antioxidant properties.,"Anti-Aging, Soothing"
Zerumbone,BEST,Specially extracted component of ginger stems shown to reduce the major types of dark circles and offer potent antioxidant benefits.,"Anti-Aging, Evens Skin Tone, Soothing"
Zinc,BEST,There is growing evidence that zinc can be a significant soothing agent and antioxidant.,"Soothing, Anti-Aging"
Zinc Oxide,BEST,Mineral skin care ingredient best known as one of the gentlest and most effective broad-spectrum sunscreen ingredients currently in use.,"Anti-Aging, Soothing, Oil Control"
Zinc PCA,BEST,"A synthetic skin-softening ingredient derived from zinc, which also offers anti-aging benefits.",Hydration
Hydrolyzed Opuntia Ficus-Indica Flower Extract,BEST,"Also known as prickly pear, this desert plant extract’s flowers are excellent sources of antioxidants that also soothe skin and can improve the stability of more delicate ingredients.","Anti-Aging, Soothing, Smooths Bumpy Skin"
"1, 2-Hexanediol",GOOD,"1,2 hexanediol is a synthetic ingredient with multiple benefits in a cosmetic, from preservative to solvent.",Hydration
10-Hydroxydecanoic Acid,GOOD,A synthetic ingredient that functions as a skin-conditioning and occlusive agent.,Hydration
"2,3-Butanediol",GOOD,"2,3-butanediol is a synthetic or plant-derived humectant that also has solvent properties in cosmetics. It also has stabilizing and dispersing properties.",Hydration
4-T-Butylcyclohexanol,GOOD,Fatty alcohol (the non-irritating kind) that functions as an emollient and skin-soothing agent.,
Acacia Senegal Gum,GOOD,"Used in various capacities to enhance the smooth feel or adhesion of a skin care formula; also functions as a thickening agent, emulsifier, or stabilizer. May also deliver skin-soothing properties.",Soothing
Acer Saccharum Extract,GOOD,Plant extract that is a source of anti-aging antioxidants; may also be used for skin-conditioning properties.,Anti-Aging
Acetylarginyltryptophyl Diphenylglycine,GOOD,"An anti-aging tetrapeptide that works to keep skin youthful, addressing firmness and sagginess by helping to inhibit protein-degrading enzymes within skin’s surface.","Anti-Aging, Soothing"
Acetylated Castor Oil,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Acetylated Hydrogenated Cottonseed Glyceride,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Acetylated Lanolin,GOOD,Emollient derived from lanolin.,Hydration
Acetylated Lanolin Alcohol,GOOD,An ester of lanolin alcohol uses as an emollient and occlusive agent.,Hydration
Acetylated Palm Kernel Glycerides,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Acetyl Glutamine,GOOD,Enhance skin’s moisture retention and barrier health. May also extend skin’s healthspan.,Hydration
Acetyl Glyceryl Ricinoleate,GOOD,Used as an emollient and thickening agent in cosmetics.,Hydration
Acetyl Methionine,GOOD,Works as a skin-conditioning agent and antioxidant.,"Anti-Aging, Hydration"
Acetyl Octapeptide-3,GOOD,"A synthetic peptide that is based around octapeptide-3, a peptide complex composed of the amino acids aspartic acid, glutamic acid, glutamine, and methionine.","Anti-Aging, Hydration"
Acetyl Tyrosine,GOOD,An amino acid complex that functions as a skin-conditioning agent.,Hydration
Acrylate,GOOD,"Functions as a film-forming agent, stabilizing ingredient, and texture enhancer.",
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,GOOD,This synthetic ingredient is used to enhance the texture of skin care and hair care products and has been ruled safe as used in cosmetics.,
Acrylates/Dimethicone Copolymer,GOOD,A silicone-enhanced film-forming agent. Also functions as a binding agent so products adhere better to skin.,
Acrylates/Steareth-20 Methacrylate Copolymer,GOOD,A synthetic polymer that helps enhance the texture of skin care and hair care products. Rinses more easily than some other polymers.,
Acrylates Copolymer,GOOD,"Synthetic polymer commonly used as a film-forming agent and/or thickener. Can improve water-resistance, depending on the formula. Contributes to soft after feel.",Hydration
Actaea Racemosa,GOOD,Plant extract that is a source of antioxidants.,
Adipic Acid/Neopentyl Glycol/Trimellitic Anhydride Copolymer,GOOD,A synthetic polymer.,
Aesculus Hippocastanum,GOOD,Plant-derived ingredient with potential antioxidant and skin-soothing properties,"Soothing, Anti-Aging"
Agar,GOOD,"This thickening ingredient is composed of sugars from the cell walls of algae, and in cooking is used as a vegan substitute for gelatin.",Hydration
Agastache Mexicana (Hyssop) Flower/Leaf/Stem Extract,GOOD,"The flower, leaf, and stem of this plant are sources of antioxidants.",Anti-Aging
